loan_no,loan_date,default,balance,DSCR,campaign,interest,payment,total_income,loan_amount
287277,08/05/2021,no,115,1.982,Digital,1.535920208,7314.81,28989,263333
287701,03/06/2021,no,-1668,10.663,Digital,4,581.66,12405,27919
287794,30/07/2021,yes,-333,4.208,Digital,2.5,1994.5,16787,95736
287970,30/04/2021,no,483,1.733,Digital,10.04843238,3098.66,10738,55775
287982,18/06/2021,no,611,26.267,Digital,2,219.23,11517,10523
288042,27/05/2021,no,818,4.762,Digital,2.893623295,7975.17,75950,143553
288118,07/09/2021,no,1991,15.068,Digital,2.34,370.75,11173,17796
288134,04/07/2021,no,184,1.786,Digital,3.491463976,405.27,1448,7294
288262,06/08/2021,no,4693,3.664,Digital,7.625,5364.03,39304,257473
288658,21/11/2021,no,7108,4.276,Digital,12.86980036,1330.42,11379,23947
288728,20/05/2021,no,105,3.479,Banking,1.625,2740.06,19064,131522
288775,29/01/2021,no,499,3.779,Digital,4.887773886,1230.86,9302,44310
288816,15/05/2021,no,1105,2.791,Banking,2.55,6987.69,38999,335409
288853,16/05/2021,no,-61,2.176,Digital,5.202844382,3414.34,14860,61458
289069,16/05/2021,no,0,2.719,Digital,2.385,4130.22,22461,198250
289126,26/08/2021,no,1764,6.608,Digital,2.085,1032.19,13642,49545
289134,30/07/2021,no,-333,2.945,Digital,1.871442265,114.6,675,4125
289304,08/07/2021,no,2775,4.553,Digital,12.37859759,3477.93,31672,125205
289341,18/11/2021,no,135,3.973,Digital,11.03016273,6956.33,55274,125213
289651,06/06/2021,no,139,7.145,Digital,1.585,1112.31,15896,53390
290245,15/06/2021,no,0,8.491,Digital,6.165,853.59,14496,40972
290348,20/11/2021,no,683,13.396,Digital,2.125,463.77,12425,22260
290694,13/05/2021,no,6958,12.381,Digital,2.71,510.35,12637,24496
291036,22/07/2021,no,3,1.578,Digital,5.277964041,1181.55,3728,21267
291059,04/07/2021,no,656,1.662,Digital,13.86291995,755.79,2512,13604
291496,23/05/2021,no,0,1.841,Digital,5.145772794,3755.21,13825,135187
291530,23/05/2021,no,0,4.259,Digital,9.5,2177.15,18545,104503
291657,15/05/2021,no,134,2.781,Banking,1.635,8523.97,47403,409150
291935,15/05/2021,no,-557,10.092,Banking,1.585,726.1,14656,34852
292257,30/05/2021,no,2061,14.969,Digital,1.84,377.09,11289,18100
292436,16/07/2021,yes,0,4.728,Digital,10.98262053,404.21,3822,7275
292606,20/07/2021,no,2374,3.501,Banking,5,5205.05,36447,249842
292669,20/06/2021,no,386,3.33,Digital,6.413251906,5131.17,34176,246296
292880,04/07/2021,no,134,2.83,Digital,4,7447.46,42158,357478
293284,07/05/2021,no,0,3.469,Banking,9.212999431,4797.74,33288,230291
293330,06/08/2021,no,13189,6.325,Banking,6.665,1346.03,17026,64609
293491,07/05/2021,no,4,5.555,Digital,2.05,1264.89,14054,60714
293773,18/02/2021,no,2326,5.111,Banking,2.5,1898.59,19409,91132
293776,11/05/2021,no,202,5.369,Digital,2.05,1697.35,18227,81472
293780,29/07/2021,no,262,2.446,Digital,7.207957914,2292.15,11211,41258
294031,07/05/2021,no,34230,5.184,Banking,10.915,1742.55,18068,83642
294034,30/05/2021,no,-199,9.512,Digital,11.98894823,56.3,1071,1013
294077,30/01/2021,no,1081,3.063,Digital,4.251980772,2386.58,14618,42958
294086,30/07/2021,no,901,8.216,Digital,2.5,871.79,14325,41845
294182,18/07/2021,no,100,2.794,Digital,12.4861056,6029.49,33697,217061
294194,30/07/2021,no,152,3.091,Banking,1.75,6995.31,43249,335774
294277,07/07/2021,no,497,1.693,Digital,12.58684606,4426.84,14987,159366
294287,22/07/2021,no,621,4.964,Digital,2.550585439,2867.79,28473,103240
294314,11/05/2021,no,3,3.835,Digital,5.791902001,555.54,4261,9999
294536,19/11/2021,no,383,4.955,Digital,14.46892519,4649.68,46077,83694
294668,18/11/2021,no,-288,6.502,Digital,8.5,1129.82,14693,54231
294766,28/05/2021,no,657,33.077,Digital,3.625,164.48,10881,7895
295308,11/05/2021,no,68,2.042,Digital,5.382121055,728.13,2974,13106
295498,18/05/2021,no,668,3.488,Digital,15,5438.55,37943,261050
295821,31/07/2021,no,5181,4.983,Digital,1.8,2156.5,21490,103512
295827,17/07/2021,no,668,13.749,Banking,1.335,453.6,12473,21772
295866,28/05/2021,no,284,19.035,Banking,2.5,291.23,11087,13979
295991,12/05/2021,no,227,2.954,Digital,1.505,5853.09,34583,280948
296516,19/06/2021,no,771,5.306,Banking,10,1599.32,16971,76767
296580,13/08/2021,no,1941,1.635,Digital,8.443789439,1068.59,3494,38469
296690,17/11/2021,no,633,3.969,Banking,11.835,3689.02,29286,177072
296740,17/11/2021,no,441,3.407,Banking,7.5,3655.76,24908,175476
296817,28/01/2021,no,376,2.701,Digital,2.55,5200.37,28092,249617
296844,18/08/2021,no,53,3.568,Digital,9.751965421,369.68,2638,6654
296883,14/05/2021,no,1074,1.824,Digital,1.599487789,2369.34,8643,42648
297058,08/07/2021,yes,0,2.707,Digital,8.022469682,6092.6,32987,109666
297073,28/07/2021,no,251,19.535,Digital,9.5,282.49,11037,13559
297361,27/05/2021,no,196,3.577,Digital,1.75,3929.29,28114,188605
297457,11/07/2021,no,0,21.251,Digital,1.38,256.04,10882,12289
297625,20/04/2021,no,184,2.617,Digital,10.61392843,882.98,4622,15893
297733,17/06/2021,no,652,4.507,Digital,2.665,3283.6,29597,157612
297915,27/08/2021,no,24,4.043,Banking,2.55,3243.11,26225,155669
298031,05/05/2021,no,1372,9.684,Digital,2.135,631.43,12229,30308
298068,20/04/2021,no,0,5.915,Banking,1.625,1349.84,15969,64792
298425,02/04/2021,no,113,2.394,Digital,9.651479321,286.58,1372,10316
298465,08/07/2021,no,-392,8.604,Banking,5.629011375,787.5,13551,37800
298752,14/08/2021,no,13410,20.879,Digital,2.335,272.96,11398,13102
298778,30/05/2021,no,1103,5.129,Digital,14.5,1772.13,18180,85062
298894,08/07/2021,no,19,2.26,Digital,7.561427465,2171.29,9813,78166
298946,31/07/2021,no,-105,3.713,Banking,2.04,3731.08,27704,179091
298972,29/07/2021,no,10,7.939,Digital,3.75,884.3,14041,42446
299148,05/05/2021,no,183,3.218,Banking,1.885,4250.14,27353,204006
299336,21/11/2021,no,529,3.71,Digital,1.5,2414.48,17917,115895
299811,27/05/2021,no,22,10.186,Digital,10.915,627.4,12781,30115
300335,07/05/2021,no,0,8.076,Digital,2.05,927.71,14984,44530
300349,15/05/2021,no,-97,2.839,Digital,2.004076546,5331.65,30276,191939
300356,15/05/2021,no,0,8.697,Digital,9,954.57,16603,45819
300365,28/07/2021,no,-861,5.403,Digital,15,1685.23,18209,80891
300632,22/08/2021,no,32,3.56,Banking,1.465,3895.34,27735,186976
300637,03/06/2021,no,-24,2.369,Digital,1.396677673,4428.44,20978,79711
300890,21/07/2021,no,687,7.938,Digital,11.585,805.46,12787,38662
301002,07/07/2021,no,10,7.701,Digital,4.085,1240.91,19112,59563
301126,12/05/2021,no,488,13.979,Digital,7.379551267,438.3,12254,21038
301175,15/07/2021,no,458,10.129,Digital,11,729.2,14772,35001
301289,14/07/2021,no,1537,15.693,Digital,5.5,383.75,12044,18420
301317,28/01/2021,no,266,2.709,Digital,1.478266097,128.1,694,4611
301390,09/05/2021,no,131,1.512,Digital,5.785224166,653.34,1976,11760
301470,25/07/2021,no,48,2.56,Digital,7.990990512,2764.63,14153,49763
301673,16/07/2021,no,374,7.662,Digital,2.05,952.57,14598,45723
301754,12/05/2021,no,98,4.47,Digital,7.827888177,616.88,5515,11103
301939,17/04/2021,no,747,3.019,Digital,12.5,3822.85,23082,183496
302029,11/07/2021,no,-172,3.703,Banking,1.59,4124.85,30550,197992
302526,31/07/2021,yes,-1737,4.369,Digital,1.885,1806.57,15786,86715
302570,26/05/2021,yes,-651,7.918,Banking,1.635,987.34,15636,47392
302574,14/04/2021,no,0,30.018,Digital,1.75,179.41,10771,8611
302722,29/01/2021,no,388,3.399,Digital,2.474131908,2205.38,14991,79393
302784,28/07/2021,no,-42,4.18,Digital,1.5,3297.98,27572,158303
302845,18/08/2021,no,1818,3.461,Digital,5.5,4038.46,27951,193846
302886,14/07/2021,no,855,71.24,Digital,9.335,72.74,10364,3491
303002,30/01/2021,no,525,2.903,Digital,6.75,9903.66,57498,475375
303061,17/11/2021,no,99,27.104,?,1.585,205.12,11119,9845
303132,26/06/2021,no,2103,8.674,Digital,3.125,822.14,14262,39462
303150,21/11/2021,no,1752,4.16,Digital,1.465,2306.83,19195,110727
303163,28/07/2021,no,31,4.096,Digital,2.3,3378.83,27679,162183
303172,07/07/2021,no,879,3.651,Digital,6.175130767,6421.3,46889,115583
303258,28/07/2021,no,293,2.179,Digital,7.07151461,5687.46,24787,204748
303381,31/07/2021,no,-125,3.801,Digital,1.54,2803.22,21310,134554
303502,06/06/2021,no,-140,2.547,Banking,1.5,4896.8,24940,235046
303543,20/04/2021,no,4,2.559,Digital,4.086122678,4833.03,24731,173989
303835,15/04/2021,no,1131,2.998,Digital,2,6781.54,40666,325513
303844,19/11/2021,no,377,13.956,Banking,6.665,428,11946,20544
303906,20/08/2021,no,68,2.721,Digital,9.400361649,5795.69,31540,104322
303915,22/07/2021,no,80,4.401,Banking,4.46,2631.69,23164,126321
303930,20/04/2021,no,101,2.299,Digital,1.465,7216.52,33187,346392
304016,14/05/2021,no,1522,5.464,Digital,2,1520.44,16614,72981
304223,23/07/2021,no,475,2.498,Digital,5.5,5790.97,28931,277966
304246,19/11/2021,no,342,3.976,Digital,2.363017145,9501.89,75565,342068
304291,21/11/2021,no,1375,4.646,Digital,10,2240.27,20818,107532
304407,08/09/2021,no,161,1.669,Digital,8.053933886,7169.95,23931,129059
304759,25/03/2021,no,1923,3.666,Digital,9.167975709,2404.92,17634,43288
304866,14/05/2021,no,-406,7.042,Banking,5.932886973,1127.79,15884,54133
304948,19/11/2021,yes,-108,0.115,Digital,1.5,3657.8,844,175574
305003,06/05/2021,no,141,3.072,Digital,1.585,10885.34,66876,522496
305521,16/11/2021,no,129,1.303,Digital,7.944247188,2563.13,6677,46136
305654,20/04/2021,no,-1006,6.651,Banking,11.5,1087.23,14463,52187
306143,07/07/2021,no,205,4.6,Digital,2.5,2187.03,20121,104977
306222,17/04/2021,no,579,3.863,Digital,13.85382965,1035.74,8003,18643
306236,20/04/2021,no,28,2.117,Digital,13.53370713,6236.07,26401,112249
306260,17/11/2021,no,16,17.373,Digital,8.5,341.76,11875,16404
306708,20/05/2021,no,274,3.644,Banking,2.5,4245.17,30941,203768
306930,04/02/2021,no,-10,3.531,Digital,12.15874872,4671.47,32987,84086
307069,31/07/2021,no,2215,1.819,Digital,3.83247552,624.67,2272,22488
307136,05/08/2021,no,287,3.731,Digital,11,2413.8,18014,115862
307548,20/04/2021,no,-423,3.634,Digital,10.97526056,8641.25,62809,155542
307752,04/02/2021,no,44,2.984,Banking,1.75,10115.36,60364,485537
307830,06/08/2021,no,57,4.241,Digital,8.315640022,1964.14,16660,35354
307879,08/05/2021,no,2679,2.418,Digital,9.997500306,6847.55,33116,246511
308051,13/05/2021,no,276,3.032,Digital,1.635,3623.14,21974,173910
308246,18/02/2021,no,961,5.252,Digital,12.5,1917.64,20142,92046
308268,17/11/2021,no,248,8.47,Digital,2.135,843.61,14291,40493
308655,20/05/2021,no,2610,3.465,Banking,2.09,4621.89,32033,221850
308780,09/07/2021,no,0,8.254,Banking,6.75,838.69,13845,40257
308820,05/02/2021,no,292,2.712,Digital,5.758801577,4746.91,25746,85444
308857,31/07/2021,no,161,4.315,Digital,13.86478802,633.88,5471,11409
308975,19/11/2021,no,167,1.399,Digital,6.5,3353.96,9384,160990
309345,05/02/2021,no,1,3.398,Banking,9.54,5635.78,38297,270517
309358,29/05/2021,no,142,13.526,Digital,4,452.46,12240,21718
309403,30/05/2021,no,-540,4.271,Digital,1.54,1948.19,16641,93513
309480,20/06/2021,no,0,3.61,Digital,13,4455.27,32169,213852
309493,03/06/2021,no,16,2.497,Digital,7.506554061,1398.27,6984,25168
309564,28/01/2021,yes,-1089,2.286,Digital,11.46,8329.32,38078,399807
309894,12/05/2021,no,737,1.674,Digital,8.530426481,5006.69,16764,180240
310069,30/05/2021,no,1096,44.156,Banking,2.75,118.75,10487,5700
310295,31/07/2021,no,3308,2.801,Banking,4.915,6388.6,35784,306652
310307,21/11/2021,no,752,6.35,Banking,1.51,1188.55,15095,57050
310388,19/11/2021,no,2650,15.746,Digital,7.04,357.53,11259,17161
310500,30/07/2021,no,241,1.569,Digital,8.32426953,2952.52,9263,106290
310609,18/11/2021,no,3059,3.271,Banking,2.75,3685.52,24112,176904
310693,11/05/2021,no,-178,9.947,Digital,2.05,640.13,12735,30726
310768,18/11/2021,yes,1709,4.734,Digital,10.55716327,2353,22276,42354
310892,13/10/2021,no,1187,3.903,Digital,7.499987546,9368.63,73126,337270
310922,28/07/2021,no,-12,3.729,Digital,14.79,4945.21,36882,237370
310987,17/04/2021,no,5432,2.986,Banking,12.5,5354.12,31979,256997
311007,28/07/2021,no,242,2.355,Digital,7.624157992,5473.33,25782,98519
311058,20/11/2021,no,5560,5.876,Banking,5.5,1757.45,20654,84357
311941,07/07/2021,no,460,4.642,Digital,11,2434.15,22599,116839
311969,20/06/2021,no,-111,6.634,Digital,14.5,1226.91,16279,58891
312110,14/05/2021,no,1235,2.126,Digital,3.049595976,210.93,897,3796
312259,17/03/2021,no,657,2.498,Digital,13.42357279,409.98,2048,7379
312503,28/07/2021,no,111,2.505,Digital,2.116567507,6731.34,33724,121164
312621,05/06/2021,no,911,4.216,Digital,5.146842253,438.29,3696,7889
312970,08/07/2021,no,167,1.926,Digital,6.382647902,6625.15,25523,119252
312997,20/08/2021,no,15,4.672,Banking,4,1587.41,14834,76195
313010,02/06/2021,no,-282,3.803,Digital,6,5366.57,40820,257595
313025,25/07/2021,no,-54,3.592,Digital,11.23325125,1743.58,12527,62768
313101,16/06/2021,no,490,4.928,Digital,7.780164584,1989.71,19612,35814
313381,21/11/2021,no,0,3.524,Banking,2,3405.82,24005,163479
313388,29/01/2021,yes,-402,4.193,Digital,2.555734729,7131.04,59795,256717
313535,20/11/2021,no,2128,10.033,Banking,1.5,665.81,13360,31958
313571,15/07/2021,no,3,3.485,Digital,5.71,3817.43,26606,183236
313664,18/10/2021,no,104,2.177,Digital,13.30992084,2607.33,11352,46931
313700,10/07/2021,no,1127,5.857,Banking,1.5,1394.75,16338,66948
313932,17/07/2021,no,2251,2.015,Digital,5.755833187,443.62,1788,7985
313935,14/05/2021,no,886,4.548,Digital,5.312687359,168.21,1530,3027
314179,18/08/2021,no,796,1.665,Digital,9.945737878,241.75,805,4351
314185,20/06/2021,no,0,7.087,Banking,11.46,986.11,13978,47333
314220,17/06/2021,no,3,4.38,Digital,9.585,1823.25,15973,87516
314238,30/06/2021,no,66,3.578,Digital,5.080135091,7273.2,52048,130917
314484,29/01/2021,no,268,2.715,Digital,10.17317947,1419.92,7709,25558
314642,05/06/2021,no,296,9.053,Digital,2.3,761.43,13787,36548
314685,03/07/2021,no,701,4.733,Digital,2,2020.78,19130,96997
314722,17/04/2021,no,-172,4.785,Digital,6.586599075,1779.19,17026,64050
314761,15/04/2021,no,194,1.68,Digital,11.08798772,3658.56,12290,65854
314835,20/04/2021,no,1049,4.934,Digital,8.299645165,1104.14,10896,19874
314904,24/07/2021,no,0,20.947,Digital,2.425,274.48,11499,13175
314997,09/09/2021,no,114,14.705,Banking,10.665,414,12176,19872
315082,09/07/2021,no,264,4.051,Digital,1.8,3333.64,27008,160014
315221,21/11/2021,no,-490,4.87,Digital,13.90430073,2317.48,22574,41714
315228,23/07/2021,no,76,2.147,Digital,5.84629436,5519.57,23703,99352
315324,09/07/2021,no,167,2.985,Digital,9.5,4973.46,29695,238726
315428,19/05/2021,no,3992,1.922,Digital,8.761752881,10210.46,39245,183788
315480,19/11/2021,no,2279,3.887,Digital,1.833018945,3680.64,28610,132503
315499,31/07/2021,no,704,4.189,Banking,13,4315.33,36155,207135
315592,18/07/2021,yes,161,49.683,Digital,2.005,105.54,10487,5065
316002,31/07/2021,no,36,2.186,Digital,8.281330464,1756.55,7680,31617
316012,08/07/2021,no,122,3.985,Digital,13.65483051,7136.94,56884,128464
316026,08/07/2021,no,233,5.212,Digital,1.885,1674.43,17453,80372
316053,29/01/2021,yes,45,2.283,Digital,13.65482765,6507.82,29717,117140
316067,15/07/2021,no,4654,3.462,Digital,2.5,4214.02,29182,202272
316083,21/11/2021,no,230,51.429,Banking,2.175,102.2,10512,4905
316151,10/07/2021,no,407,6.121,Digital,12.5,1669.31,20437,80126
316236,07/08/2021,no,83,2.366,Digital,11.5,8668.12,41015,416069
317054,09/05/2021,yes,-3313,25.187,Digital,2,221.86,11176,10649
317077,09/06/2021,no,9326,2.776,Digital,6.48879879,1991.5,11057,35847
317161,02/02/2021,yes,986,3.058,Digital,5.262954136,1700.21,10398,30603
317168,06/05/2021,no,17,4.534,Digital,6.75,2751.2,24947,132057
317183,27/10/2021,no,373,2.509,Digital,6.333417244,1456.06,7307,26209
317418,06/05/2021,no,177,4.736,Digital,11.77752894,1672.38,15841,30102
317428,17/04/2021,yes,-274,2.768,Digital,10.75505929,2427.16,13438,87377
317597,10/07/2021,no,275,2.348,Digital,10.10433287,2905.01,13640,104580
317768,19/08/2021,no,-274,3.713,Digital,8.723055397,1418.69,10534,51072
317909,12/05/2021,no,14,3.715,Digital,1.47,3022.49,22459,145079
317989,05/03/2021,no,2061,13.623,Digital,2.415,438.74,11954,21059
318160,30/01/2021,no,511,2.181,Digital,2.160912803,1637.72,7143,29478
318585,08/07/2021,no,-16,4.157,Digital,6.831814292,2635.18,21908,126488
318906,11/08/2021,no,1600,24.299,Digital,3.75,227.83,11072,10935
319040,11/02/2021,no,174,2.916,Digital,1.885,10488.84,61175,503464
319054,17/11/2021,no,493,4.385,Digital,6.651630638,6956.71,61005,250441
319619,04/06/2021,no,895,3.757,Digital,1.965,2436.03,18304,116929
319626,20/08/2021,no,47,3.288,Digital,3,5834.5,38362,280056
319852,27/05/2021,no,-1148,2.517,Digital,2.514689363,1769.37,8906,63697
319876,23/07/2021,no,799,3.056,Digital,11.59783121,605.95,3704,10907
319993,18/11/2021,no,3008,8.511,Digital,15,721.98,12289,34655
320018,27/05/2021,no,-429,1.897,Digital,10.6063898,2351.39,8921,42325
320249,06/02/2021,no,310,2.247,Digital,2.043805038,379.44,1705,6829
320453,08/05/2021,no,0,1.876,Digital,2.530889539,3451.33,12949,62123
320523,15/07/2021,no,854,2.512,Digital,12.91032399,2611.13,13118,47000
320769,18/11/2021,no,2019,4.262,Digital,9.5,2840.32,24213,136335
320921,13/05/2021,no,-185,3.576,Banking,1.8,4457.98,31880,213983
320956,12/05/2021,no,784,9.541,Digital,2.842388131,668.92,12765,32108
320964,08/05/2021,no,-1,7.324,Digital,5.835,965.21,14139,46330
320979,19/11/2021,no,3495,1.519,Digital,7.908977407,2004.2,6090,36075
321205,29/08/2021,no,563,2.875,Digital,7.63803349,5317.85,30580,255256
321232,17/06/2021,no,-184,4.986,Digital,9,1609.59,16050,77260
321336,23/05/2021,no,-209,3.11,Digital,8.62011924,129.58,806,4664
321348,15/10/2021,no,1960,2.622,Banking,3.29,8654.37,45379,415409
321561,08/05/2021,no,47,3.602,Digital,3.060916248,2880.61,20751,103701
321770,21/11/2021,no,505,4.981,Banking,1.425,1996.99,19893,95855
321855,04/02/2021,no,274,3.348,Digital,9.601278455,4217.62,28240,151834
321899,10/07/2021,yes,76,7.529,Banking,1.5,1001.82,15086,48087
321901,16/07/2021,no,0,13.945,Digital,13.1675,402.9,11237,19339
322004,05/02/2021,no,511,2.842,Digital,1.835,5814.87,33050,279113
322284,30/05/2021,yes,-762,7.57,Digital,2.55,934.79,14153,44869
322343,19/05/2021,no,1710,6.475,Digital,13,1279.37,16567,61409
322436,08/07/2021,no,57,2.015,Digital,6.347611295,4224.38,17024,76038
322449,20/08/2021,no,-295,2.631,Digital,10.21316407,1020.57,5371,18370
322452,14/05/2021,no,1364,3.023,Banking,4.415,8340.21,50425,400330
322474,09/05/2021,no,503,3.862,Banking,9.5,2993.25,23119,143676
322477,17/04/2021,no,459,22.828,Banking,2.3,251.36,11476,12065
322612,14/05/2021,no,3269,5.612,Digital,7,1544.58,17337,74139
322663,09/07/2021,no,3800,4.178,Digital,10.75,3255.8,27207,156278
323100,25/07/2021,no,2074,1.728,Digital,1.708325557,956.46,3305,17216
323275,30/05/2021,no,1954,4.832,Banking,1.635,1649.5,15940,79176
323346,08/07/2021,no,51439,3.657,Banking,2.835,4073,29791,195504
323414,07/05/2021,no,504,7.097,Digital,14,1073.6,15239,51532
323434,11/01/2021,no,486,1.716,Digital,3.989824641,2021.07,6938,36379
323461,06/05/2021,no,-101,2.889,Digital,12.44466005,6395.24,36955,230228
323638,23/07/2021,no,-337,4.85,Digital,9.347803035,4543.14,44066,81776
323661,07/07/2021,no,77,2.421,Digital,5.868366961,1554.27,7527,27976
323752,18/11/2021,no,447,1.706,Digital,7.118629755,1066.44,3639,38391
323787,28/01/2021,no,-295,2.656,Digital,11.2242365,6397.89,33981,115162
323897,29/01/2021,no,257,4.638,Digital,1.625,2496.33,23158,119823
324183,08/07/2021,no,-306,2.228,Digital,1.54,8136.36,36248,390545
324288,22/07/2021,no,7,3.027,Banking,1.8,9133.26,55301,438396
324297,15/07/2021,no,813,3.583,Banking,14.5,3267.76,23417,156852
324358,21/11/2021,no,3653,43.813,Banking,10.29,120.26,10538,5772
324423,05/06/2021,no,865,4.154,Banking,4,2570.43,21356,123380
324575,25/05/2021,no,466,4.86,Banking,5.25,2120.62,20614,101789
324623,07/05/2021,no,0,3.062,Banking,1.5,8256.65,50565,396319
324783,15/05/2021,no,228,2.016,Digital,1.778297435,306.99,1238,5525
324820,28/07/2021,no,-548,4.209,Digital,5.440582579,8019.83,67515,144356
324987,16/05/2021,no,1125,4.361,Banking,12.5,2705.18,23594,129848
325111,07/08/2021,no,106,3.154,Banking,9.5,5296.14,33409,254214
325138,04/02/2021,no,0,3.926,Banking,5.665,4401.24,34555,211259
325330,17/07/2021,no,1844,2.78,?,2.135,4284.82,23827,205671
325656,18/05/2021,no,528,2.125,Digital,2.394741937,1579.22,6711,28425
325679,06/05/2021,no,182,4.16,Banking,2.09,2875.81,23925,138038
325714,18/06/2021,no,551,10.661,Digital,1.675,608.65,12978,29215
325800,30/04/2021,no,22,3.556,Banking,10,7817.65,55600,375247
326066,16/07/2021,no,423,2.784,Digital,1.335,7078.02,39416,339744
326144,12/05/2021,no,-337,3.873,Digital,1.635,3125.87,24213,150041
326196,20/11/2021,no,141,1.831,Digital,1.607180727,2506.85,9181,90246
326251,07/05/2021,no,251,4.425,Digital,14.07201907,1301.57,11519,46856
326542,11/08/2021,no,159,2.353,Digital,12,7528.61,35432,361373
326584,16/04/2021,no,2441,6.376,Digital,3,1060.54,13523,50905
326729,11/05/2021,no,1395,4.096,Digital,1.51,2461.9,20168,118171
326912,18/07/2021,no,192,13.853,Digital,1.625,439.34,12172,21088
327020,15/05/2021,no,5781,2.935,Digital,3,7705.76,45231,369876
327193,13/08/2021,no,-180,3.376,?,1.55,6986.85,47170,335368
327563,31/07/2021,no,7,5.161,Banking,1.8,1389.94,14348,66717
327883,18/11/2021,no,215,7.982,Digital,11.75,867.5,13849,41640
327915,02/06/2021,no,2444,2.153,Digital,3.612211031,5216.17,22464,93891
327938,12/06/2021,no,-336,3.002,Digital,2.55,8483.66,50942,407215
327993,22/07/2021,no,-378,3.123,Banking,14,5900.31,36858,283214
328000,10/07/2021,no,-10,3.978,Digital,7.567410627,5055.4,40220,181994
328028,28/07/2021,no,0,7.616,Banking,1.55,865.45,13183,41541
328250,29/05/2021,no,3049,4.63,Digital,9.49904439,4271.4,39554,76885
328349,28/07/2021,no,0,3.32,Digital,14,4325.48,28721,207623
328598,07/07/2021,no,366,1.804,Digital,2.363047442,767.08,2767,13807
328610,07/05/2021,no,203,22.647,Digital,1.8,240.05,10873,11522
328885,02/07/2021,no,0,6.989,Digital,1.59,1540.06,21526,73922
328891,09/07/2021,no,233,6.021,Banking,9.5,1195.31,14395,57374
329069,17/04/2021,no,1028,4.024,Digital,1.635,3398.54,27350,163129
329192,21/08/2021,no,105,4.811,Digital,4.5,4683.68,45062,224816
329247,31/07/2021,no,0,2.942,Digital,10.5,4656.05,27395,223490
329340,21/11/2021,no,0,3.02,Banking,1.88,7772.33,46950,373071
329526,10/07/2021,no,109,2.406,Digital,5.482419392,1527.36,7351,27492
329641,16/06/2021,no,3687,1.966,Digital,10.93539336,2459.17,9667,88530
330172,19/08/2021,no,2095,4.481,Banking,2.75,2114.25,18947,101484
330282,18/05/2021,no,429,2.329,Digital,3,8145.98,37941,391007
330401,29/06/2021,no,0,28.746,Digital,13,191.96,11036,9214
330442,07/05/2021,no,0,7.493,Banking,3,1120.58,16794,53787
330491,17/07/2021,yes,33,9.78,Banking,1.75,657.93,12869,31580
330528,06/05/2021,no,748,4.021,Digital,1.465,3027.44,24344,145317
330669,09/07/2021,no,1385,7.129,Digital,1.965,1044.67,14894,50144
330743,20/04/2021,no,2298,3.436,Digital,10.545565,100.69,692,1812
330979,20/11/2021,no,1539,2.929,Digital,4.328542777,9710.1,56890,466084
331333,28/01/2021,no,613,2.5,Digital,1.419779045,6988.62,34938,251590
331351,20/11/2021,no,4223,2.647,Digital,3.216159556,5671.72,30028,102090
331419,16/11/2021,no,138,2.602,Digital,1.5,4716.97,24547,226414
331502,19/11/2021,no,0,4.578,Digital,10.71467034,934.5,8557,33642
331658,08/07/2021,no,81,1.697,Digital,2.032644936,852.91,2895,15352
331696,09/07/2021,no,140,4.156,Digital,10.04066213,61.84,514,1113
331731,28/07/2021,no,-1629,3.638,Digital,6.75,6259.83,45543,300471
331880,11/10/2021,no,0,3.339,Banking,6.5,3553.01,23729,170544
332161,07/07/2021,yes,25,6.136,Digital,2.3,1340.6,16452,64348
332329,21/05/2021,no,0,2.75,Digital,6.069222695,242.2,1332,4359
332435,24/07/2021,no,593,19.609,Digital,2.54,286.75,11246,13764
332632,28/05/2021,no,419,2.549,Digital,13.6087772,3920.15,19988,70562
332779,08/05/2021,no,225,12.705,Digital,7.75,501.81,12751,24086
333023,11/07/2021,no,37,6.483,Digital,2.75,1317.64,17085,63246
333060,18/05/2021,no,35,1.705,Digital,14.62250055,1239.77,4228,44631
333432,31/08/2021,no,99,3.036,Digital,2.135,3986.08,24202,191331
333473,29/05/2021,no,219,3.708,Digital,10,2308.68,17120,110816
333477,19/11/2021,no,1322,2.546,Digital,3.5,6368.66,32424,305695
333509,21/11/2021,no,-605,5.444,Digital,2.75,1514.77,16494,72708
333618,27/05/2021,no,352,4.423,Digital,10.80214355,467.87,4139,8421
333678,27/05/2021,no,3052,3.679,?,1.75,3191.75,23485,153204
333824,05/02/2021,no,1072,3.874,Digital,12,3435.29,26616,164893
333842,07/08/2021,no,399,2.933,Digital,5.419720148,6974.06,40907,125533
333865,12/05/2021,no,159,3.616,Digital,1.335,4220.04,30522,202561
333879,28/07/2021,no,215,3.138,Digital,2.04,3219.93,20207,154556
333893,10/07/2021,no,789,2.889,Digital,12.75,6893.77,39829,330900
334061,14/07/2021,no,2,3.616,Banking,9.25,5365.16,38806,257527
334075,08/07/2021,no,1551,67.86,Digital,1.72,76.65,10403,3679
334086,27/05/2021,yes,-275,1.283,Digital,1.34,3774.4,9686,181171
334119,30/05/2021,no,3911,2.515,Digital,1.5,7770.41,39085,372979
334416,02/07/2021,no,70,2.96,Digital,3.085,6509.77,38539,312468
334657,11/07/2021,yes,-357,1.707,Digital,10.13911892,2101.02,7174,37818
334662,26/05/2021,no,-287,3.59,Banking,2.085,4657.24,33440,223547
